Sensor,Date,Time,Ground Temp,Salinity,Dielectric,Moisture,Latitude,Longtitude,Type
G1A0000333_18GFC,July 12th 2021,11:59 AM,8 °C,0.3 dS/m,9 V/m,18%,-41.138691,175.020691,
G1A0000338_18GBL,July 12th 2021,12:02 PM,7 °C,0.5 dS/m,7 V/m,15%,-41.139042,175.020737,
G1A0000345_ 17GBC,July 12th 2021,12:02 PM,7 °C,0.3 dS/m,7 V/m,15%,-41.135422,175.024002,
G1A0000347_ 13GBL,July 12th 2021,12:05 PM,8 °C,0.5 dS/m,7 V/m,15%,-41.137749,175.017578,Creeping Bentgrass
G1A0000353_ 2GFC,July 12th 2021,12:00 PM,7 °C,0.6 dS/m,12 V/m,24%,-41.139885,175.012894,Creeping Bentgrass
G1A0000354_16GBR,July 12th 2021,12:04 PM,7 °C,0.6 dS/m,8 V/m,16%,-41.131798,175.023636,Creeping Bentgrass
G1A0000356_7GFR,July 12th 2021,11:57 AM,9 °C,0.3 dS/m,7 V/m,15%,-41.135559,175.020172,Creeping Bentgrass
G1A0000361_ 16GFL,July 28th 2021,12:00 PM,10 °C,0.3 dS/m,8 V/m,16%,-41.131882,175.023315,"	Creeping Bentgrass"
G1A0000362_8GBR,July 12th 2021,12:00 PM,6 °C,0.6 dS/m,10 V/m,21%,-41.134605,175.022507,"	Creeping Bentgrass"
G1A0000372_17GML,July 12th 2021,12:03 PM,8 °C,0.3 dS/m,6 V/m,13%,-41.13538,175.024292,"	Creeping Bentgrass"
G1A0000375_2GBL,July 12th 2021,12:03 PM,8 °C,0.4 dS/m,10 V/m,21%,-41.140022,175.012604,"	Creeping Bentgrass"
G1A0000378_8GFC,July 12th 2021,12:01 PM,6 °C,0.5 dS/m,11 V/m,22%,-41.134697,175.022095,"	Creeping Bentgrass"
G1A0000379_7GBL,July 12th 2021,11:57 AM,7 °C,0.3 dS/m,6 V/m,12%,-41.135281,175.020187,"	Creeping Bentgrass"
G1A0000381_1GFC,July 12th 2021,12:02 PM,7 °C,0.4 dS/m,13 V/m,27%,-41.138222,175.017807,"	Creeping Bentgrass"
G1A0000382_1GBR,July 12th 2021,12:00 PM,8 °C,0.4 dS/m,16 V/m,32%,-41.138042,175.017548,"	Creeping Bentgrass"
G1A0000384_13GBR,July 12th 2021,11:58 AM,5 °C,0.4 dS/m,7 V/m,15%,-41.137661,175.017456,"	Creeping Bentgrass"
G1A0000385_4GBL,July 12th 2021,12:03 PM,7 °C,0.5 dS/m,7 V/m,15%,-41.136711,175.016098,"	Creeping Bentgrass"
G1A0000391_ 4GFR,July 12th 2021,11:56 AM,7 °C,0.5 dS/m,9 V/m,18%,-41.1367,175.01564,"	Creeping Bentgrass"
G1A0000440_10GFC,July 12th 2021,12:03 PM,7 °C,0.4 dS/m,10 V/m,21%,-41.134724,175.02298,Bent Grass
G1A0000443_18TWMR,July 12th 2021,11:59 AM,7 °C,0.6 dS/m,9 V/m,19%,-41.135387,175.023468,Bent Grass
G1A0000444_OPG,July 12th 2021,11:57 AM,8 °C,0.4 dS/m,8 V/m,16%,-41.140182,175.020874,Bent Grass
G1A0000445_5GBC,July 12th 2021,11:57 AM,8 °C,0.4 dS/m,7 V/m,15%,-41.138893,175.011658,Bent Grass
G1A0000460_9GBR,July 12th 2021,12:05 PM,7 °C,0.4 dS/m,6 V/m,13%,-41.137833,175.019028,Bent Grass
G1A0000465_8TWMR,July 12th 2021,11:59 AM,7 °C,0.4 dS/m,9 V/m,19%,-41.135441,175.021118,Bent Grass
G1A0000466_OPG,July 12th 2021,12:03 PM,9 °C,0.4 dS/m,7 V/m,15%,-41.139759,175.021133,Bent Grass
G1A0000472_OPG,July 12th 2021,12:00 PM,8 °C,0.2 dS/m,8 V/m,17%,-41.139942,175.02092,Bent Grass
G1A0000474_1TWMR,July 12th 2021,12:05 PM,8 °C,0.8 dS/m,9 V/m,19%,-41.13974,175.020798,"	Bent Grass"
G1A0000483_12GML,July 12th 2021,11:58 AM,8 °C,0.7 dS/m,15 V/m,31%,-41.134953,175.020477,"	Bent Grass"
G1A0000484_3GFL,July 12th 2021,12:00 PM,8 °C,0.5 dS/m,9 V/m,19%,-41.138744,175.010864,"	Bent Grass"
G1A0000485_OPG,July 12th 2021,11:58 AM,7 °C,0.5 dS/m,9 V/m,20%,-41.140102,175.020615,"	Bent Grass"
G1A0000486_11GFC,July 12th 2021,12:01 PM,6 °C,0.3 dS/m,8 V/m,17%,-41.133652,175.022934,"	Bent Grass"
G1A0000495_13TGRMR,July 12th 2021,12:02 PM,8 °C,0.8 dS/m,8 V/m,16%,-41.135887,175.020218,"	Bent Grass"
G1A0000497_3TWFR,July 12th 2021,11:58 AM,8 °C,0.4 dS/m,6 V/m,13%,-41.139687,175.012009,"	Bent Grass"
G1A0000498_14GFL,July 12th 2021,12:03 PM,7 °C,0.3 dS/m,8 V/m,16%,-41.135189,175.018204,"	Bent Grass"
G1A0000500_15GBL,July 12th 2021,12:03 PM,7 °C,0.2 dS/m,5 V/m,11%,-41.13271,175.021698,"	Bent Grass"
G1A0000518_6GBR,July 12th 2021,12:04 PM,7 °C,0.4 dS/m,7 V/m,15%,-41.138454,175.016235,"	Bent Grass"
